"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr7-156","chr7",152000001,153000000,"chr7-156",0.055,0.066,0.116,0.121,0.174
"chr7-157","chr7",153000001,154000000,"chr7-157",0.03,0.014,0.001,-0.008,-0.05
"chr7-158","chr7",154000001,154270634,"chr7-158",0.022,0.031,0.055,0.037,0.043
"chr7-159","chr7",154370635,155000000,"chr7-159",-0.029,-0.044,-0.034,-0.025,-0.059
"chr7-160","chr7",155000001,156000000,"chr7-160",0.009,-0.047,0.02,-0.063,-0.114
"chr7-161","chr7",156000001,157000000,"chr7-161",0.04,0.031,0.044,0.021,0.057
"chr7-162","chr7",157000001,158000000,"chr7-162",0.067,-0.009,0.048,-0.018,-0.063
"chr7-163","chr7",158000001,159128663,"chr7-163",0.063,0.006,0.096,0.024,-0.031
"chr8-001","chr8",10001,1000000,"chr8-001",0.074,0.011,0.078,0.042,0.027
"chr8-002","chr8",1000001,2000000,"chr8-002",0.052,-0.006,0.033,0.009,-0.038
"chr8-003","chr8",2000001,3000000,"chr8-003",0.044,0.016,0,0.04,0.056
"chr8-004","chr8",3000001,4000000,"chr8-004",-0.058,-0.038,-0.135,-0.137,-0.065
"chr8-005","chr8",4000001,5000000,"chr8-005",-0.094,-0.083,-0.153,-0.108,-0.128
"chr8-006","chr8",5000001,6000000,"chr8-006",-0.049,-0.021,-0.14,-0.024,-0.072
"chr8-007","chr8",6000001,7000000,"chr8-007",0.004,-0.027,0.006,-0.04,-0.046
"chr8-008","chr8",7000001,7474649,"chr8-008",0.019,0.066,-0.004,-0.207,-0.009
"chr8-009","chr8",7524650,8000000,"chr8-009",-0.044,0.026,-0.069,-0.195,0.01
"chr8-010","chr8",8000001,9000000,"chr8-010",-0.005,0.015,0.02,0.054,0.108
"chr8-011","chr8",9000001,10000000,"chr8-011",0.02,0.015,0.04,0.024,0.068
"chr8-012","chr8",10000001,11000000,"chr8-012",0.03,-0.044,0.01,-0.026,-0.055
"chr8-013","chr8",11000001,12000000,"chr8-013",0.001,-0.032,-0.004,-0.056,-0.054
"chr8-014","chr8",12000001,12091854,"chr8-014",0.16,0.177,0.067,-0.15,0.195
"chr8-015","chr8",12141855,13000000,"chr8-015",-0.001,0.019,0.072,-0.007,0.057
"chr8-016","chr8",13000001,14000000,"chr8-016",-0.093,-0.036,-0.113,-0.073,-0.039
"chr8-017","chr8",14000001,15000000,"chr8-017",-0.116,0.017,-0.305,-0.074,-0.068
"chr8-018","chr8",15000001,16000000,"chr8-018",-0.064,-0.063,-0.017,-0.112,-0.001
"chr8-019","chr8",16000001,17000000,"chr8-019",-0.094,-0.014,-0.085,-0.103,-0.048
"chr8-020","chr8",17000001,18000000,"chr8-020",0.003,0.03,-0.001,0.028,0.098
"chr8-021","chr8",18000001,19000000,"chr8-021",-0.07,-0.024,-0.072,-0.018,0.035
"chr8-022","chr8",19000001,20000000,"chr8-022",-0.017,0.029,0.009,0.033,0.094
"chr8-023","chr8",20000001,21000000,"chr8-023",-0.024,-0.042,-0.06,-0.037,-0.04
"chr8-024","chr8",21000001,22000000,"chr8-024",0.058,-0.027,0.076,-0.027,-0.063
"chr8-025","chr8",22000001,23000000,"chr8-025",0.068,-0.001,0.068,0.005,-0.005
"chr8-026","chr8",23000001,24000000,"chr8-026",0.021,-0.023,0.019,-0.01,-0.001
"chr8-027","chr8",24000001,25000000,"chr8-027",-0.043,-0.017,-0.083,-0.105,-0.072
"chr8-028","chr8",25000001,26000000,"chr8-028",0.012,-0.024,-0.022,-0.053,-0.046
"chr8-029","chr8",26000001,27000000,"chr8-029",0.011,0.008,0.047,0.029,0.057
"chr8-030","chr8",27000001,28000000,"chr8-030",-0.013,-0.073,-0.032,-0.069,-0.076
"chr8-031","chr8",28000001,29000000,"chr8-031",0.051,0.048,0.067,0.084,0.126
"chr8-032","chr8",29000001,30000000,"chr8-032",-0.023,0.027,0.026,0.02,0.025
"chr8-033","chr8",30000001,31000000,"chr8-033",0.028,0.038,0.084,0.032,0.085
"chr8-034","chr8",31000001,32000000,"chr8-034",0.023,0.101,0.061,0.107,0.192
"chr8-035","chr8",32000001,33000000,"chr8-035",-0.092,0.02,-0.114,-0.106,-0.02
"chr8-036","chr8",33000001,34000000,"chr8-036",0.066,0.028,0.091,0.075,0.111
"chr8-037","chr8",34000001,35000000,"chr8-037",-0.162,0.02,-0.208,-0.096,0.024
"chr8-038","chr8",35000001,36000000,"chr8-038",-0.028,0.009,-0.057,0.005,0.05
"chr8-039","chr8",36000001,37000000,"chr8-039",-0.083,-0.031,-0.096,-0.067,-0.005
"chr8-040","chr8",37000001,38000000,"chr8-040",0.044,0.01,0.081,0.03,0.046
"chr8-041","chr8",38000001,39000000,"chr8-041",0.057,0.022,0.076,0.067,0.097
"chr8-042","chr8",39000001,40000000,"chr8-042",-0.037,0.021,-0.05,-0.023,0.03
"chr8-043","chr8",40000001,41000000,"chr8-043",-0.029,0.017,-0.016,0.024,0.032
"chr8-044","chr8",41000001,42000000,"chr8-044",0.037,0.008,0.067,0,-0.007
"chr8-045","chr8",42000001,43000000,"chr8-045",0.057,0.03,0.083,0.071,0.111
"chr8-046","chr8",43000001,43838887,"chr8-046",0.035,0.03,0.096,0.011,-0.021
"chr8-047","chr8",46838888,48000000,"chr8-047",0.134,-0.014,0.04,-0.05,-0.184
"chr8-048","chr8",48000001,48130499,"chr8-048",0.048,0.064,0.032,0.02,0.112
"chr8-049","chr8",48135600,49000000,"chr8-049",0.049,0.052,0.109,0.081,0.142
"chr8-050","chr8",49000001,50000000,"chr8-050",-0.035,-0.049,-0.079,-0.071,-0.072
"chr8-051","chr8",50000001,51000000,"chr8-051",-0.09,-0.056,-0.156,-0.138,-0.127
"chr8-052","chr8",51000001,52000000,"chr8-052",-0.249,-0.201,-0.369,-0.309,-0.215
"chr8-053","chr8",52000001,53000000,"chr8-053",-0.046,0.027,-0.051,0.011,0.028
"chr8-054","chr8",53000001,54000000,"chr8-054",-0.003,0.007,-0.021,-0.019,-0.025
"chr8-055","chr8",54000001,55000000,"chr8-055",-0.009,-0.017,0.008,-0.008,0.004
"chr8-056","chr8",55000001,56000000,"chr8-056",-0.003,0.009,0.024,0.031,0.051
"chr8-057","chr8",56000001,57000000,"chr8-057",0.025,0.037,0.039,0.026,0.045
"chr8-058","chr8",57000001,58000000,"chr8-058",-0.052,-0.04,-0.099,-0.097,-0.076
"chr8-059","chr8",58000001,59000000,"chr8-059",-0.028,-0.017,-0.049,-0.049,-0.063
"chr8-060","chr8",59000001,60000000,"chr8-060",-0.037,0.002,-0.072,-0.08,-0.012
"chr8-061","chr8",60000001,61000000,"chr8-061",-0.036,0.004,-0.117,-0.082,-0.029
"chr8-062","chr8",61000001,62000000,"chr8-062",-0.016,0.038,0.008,0.007,0.029
"chr8-063","chr8",62000001,63000000,"chr8-063",-0.08,-0.037,-0.13,-0.078,-0.018
"chr8-064","chr8",63000001,64000000,"chr8-064",-0.037,-0.016,-0.051,-0.084,-0.074
"chr8-065","chr8",64000001,65000000,"chr8-065",-0.031,0.059,-0.049,0.041,0.03
"chr8-066","chr8",65000001,66000000,"chr8-066",-0.117,-0.167,-0.176,-0.237,-0.244
"chr8-067","chr8",66000001,67000000,"chr8-067",-0.024,0.019,-0.021,0.018,0.002
"chr8-068","chr8",67000001,68000000,"chr8-068",0.007,-0.013,0.011,-0.026,0.027
"chr8-069","chr8",68000001,69000000,"chr8-069",-0.023,0.026,-0.015,0.043,0.077
"chr8-070","chr8",69000001,70000000,"chr8-070",-0.08,-0.018,-0.077,-0.08,-0.002
"chr8-071","chr8",70000001,71000000,"chr8-071",0.023,0.018,0.039,0,0.028
"chr8-072","chr8",71000001,72000000,"chr8-072",0.035,0.118,0.086,0.089,0.179
"chr8-073","chr8",72000001,73000000,"chr8-073",-0.058,-0.054,-0.09,-0.12,-0.12
"chr8-074","chr8",73000001,74000000,"chr8-074",-0.052,-0.032,-0.063,-0.025,0.021
"chr8-075","chr8",74000001,75000000,"chr8-075",-0.017,0.011,0.021,-0.001,0.046
"chr8-076","chr8",75000001,76000000,"chr8-076",-0.077,-0.031,-0.115,-0.091,-0.089
"chr8-077","chr8",76000001,77000000,"chr8-077",-0.126,-0.102,-0.198,-0.161,-0.113
"chr8-078","chr8",77000001,78000000,"chr8-078",-0.077,-0.044,-0.18,-0.084,-0.095
"chr8-079","chr8",78000001,79000000,"chr8-079",-0.044,-0.043,-0.163,-0.174,-0.049
"chr8-080","chr8",79000001,80000000,"chr8-080",-0.076,-0.03,-0.146,-0.081,-0.077
"chr8-081","chr8",80000001,81000000,"chr8-081",-0.017,0.007,-0.065,-0.063,0.005
"chr8-082","chr8",81000001,82000000,"chr8-082",0.013,0.066,0.05,0.067,0.165
"chr8-083","chr8",82000001,83000000,"chr8-083",-0.032,-0.026,-0.066,-0.091,-0.016
"chr8-084","chr8",83000001,84000000,"chr8-084",-0.19,-0.066,-0.233,-0.126,-0.066
"chr8-085","chr8",84000001,85000000,"chr8-085",-0.068,-0.046,-0.063,-0.101,-0.118
"chr8-086","chr8",85000001,86000000,"chr8-086",0.002,0.091,0.052,-0.02,0.087
"chr8-087","chr8",86000001,86576451,"chr8-087",-0.044,-0.056,-0.087,-0.094,-0.081
"chr8-088","chr8",86726452,87000000,"chr8-088",-0.05,0.082,-0.137,-0.019,0.055
"chr8-089","chr8",87000001,88000000,"chr8-089",-0.065,-0.048,-0.071,-0.085,-0.061
"chr8-090","chr8",88000001,89000000,"chr8-090",-0.086,0.002,-0.113,-0.151,0.039
"chr8-091","chr8",89000001,90000000,"chr8-091",-0.155,-0.072,-0.211,-0.195,-0.15
"chr8-092","chr8",90000001,91000000,"chr8-092",-0.022,0.028,-0.042,-0.037,-0.001
"chr8-093","chr8",91000001,92000000,"chr8-093",-0.107,-0.045,-0.15,-0.124,-0.152
"chr8-094","chr8",92000001,93000000,"chr8-094",-0.038,-0.028,-0.104,-0.145,-0.051
"chr8-095","chr8",93000001,94000000,"chr8-095",-0.074,-0.026,-0.113,-0.085,-0.073
"chr8-096","chr8",94000001,95000000,"chr8-096",-0.013,0.041,0.009,-0.017,0.053
"chr8-097","chr8",95000001,96000000,"chr8-097",-0.01,0.002,0.007,0.017,0.041
"chr8-098","chr8",96000001,97000000,"chr8-098",-0.007,-0.013,0,-0.004,0.005
"chr8-099","chr8",97000001,98000000,"chr8-099",0.011,0.029,-0.005,-0.006,0.017
"chr8-100","chr8",98000001,99000000,"chr8-100",0.03,0.045,0.058,0.061,0.07
"chr8-101","chr8",99000001,100000000,"chr8-101",0,-0.013,0.024,-0.005,-0.009
"chr8-102","chr8",100000001,101000000,"chr8-102",-0.042,-0.03,-0.134,-0.086,-0.054
"chr8-103","chr8",101000001,102000000,"chr8-103",0.021,0.046,0.046,0.043,0.078
"chr8-104","chr8",102000001,103000000,"chr8-104",0.009,0.027,0.018,0.029,0.054
"chr8-105","chr8",103000001,104000000,"chr8-105",0.044,0.036,0.083,0.078,0.155
"chr8-106","chr8",104000001,105000000,"chr8-106",-0.061,-0.047,-0.104,-0.114,-0.07
"chr8-107","chr8",105000001,106000000,"chr8-107",-0.067,-0.03,-0.113,-0.101,-0.04
"chr8-108","chr8",106000001,107000000,"chr8-108",-0.074,0.01,-0.112,-0.045,-0.009
"chr8-109","chr8",107000001,108000000,"chr8-109",-0.066,-0.017,-0.116,-0.098,-0.04
"chr8-110","chr8",108000001,109000000,"chr8-110",-0.123,-0.034,-0.22,-0.179,-0.198
"chr8-111","chr8",109000001,110000000,"chr8-111",-0.059,-0.082,-0.116,-0.12,-0.059
"chr8-112","chr8",110000001,111000000,"chr8-112",-0.047,-0.059,-0.06,-0.101,-0.063
"chr8-113","chr8",111000001,112000000,"chr8-113",-0.142,-0.112,-0.322,-0.303,-0.399
"chr8-114","chr8",112000001,113000000,"chr8-114",-0.027,0.022,-0.053,-0.013,-0.022
"chr8-115","chr8",113000001,114000000,"chr8-115",-0.317,-0.152,-0.433,-0.321,-0.316
"chr8-116","chr8",114000001,115000000,"chr8-116",-0.232,-0.252,-0.361,-0.376,-0.334
"chr8-117","chr8",115000001,116000000,"chr8-117",-0.05,0.01,-0.233,-0.034,0.003
"chr8-118","chr8",116000001,117000000,"chr8-118",-0.073,-0.01,-0.105,-0.079,-0.039
"chr8-119","chr8",117000001,118000000,"chr8-119",-0.077,-0.021,-0.083,-0.041,0.003
"chr8-120","chr8",118000001,119000000,"chr8-120",-0.075,0.012,-0.106,-0.013,0.052
"chr8-121","chr8",119000001,120000000,"chr8-121",-0.067,-0.021,-0.11,-0.061,-0.059
"chr8-122","chr8",120000001,121000000,"chr8-122",-0.012,-0.001,-0.026,0.017,0.086
"chr8-123","chr8",121000001,122000000,"chr8-123",-0.041,0.001,-0.056,-0.039,-0.033
"chr8-124","chr8",122000001,123000000,"chr8-124",-0.008,0.014,-0.056,-0.001,0.078
"chr8-125","chr8",123000001,124000000,"chr8-125",-0.005,0.025,-0.024,-0.019,0.053
"chr8-126","chr8",124000001,125000000,"chr8-126",0.014,0.012,0.044,0.016,0.038
"chr8-127","chr8",125000001,126000000,"chr8-127",0,-0.016,-0.019,0.001,-0.015
"chr8-128","chr8",126000001,127000000,"chr8-128",-0.013,-0.011,-0.033,-0.016,0.001
"chr8-129","chr8",127000001,128000000,"chr8-129",-0.051,-0.032,-0.054,-0.051,-0.002
"chr8-130","chr8",128000001,129000000,"chr8-130",-0.026,-0.053,-0.069,-0.045,-0.014
"chr8-131","chr8",129000001,130000000,"chr8-131",-0.045,0.009,-0.102,-0.048,-0.017
"chr8-132","chr8",130000001,131000000,"chr8-132",-0.054,0.015,-0.081,-0.021,0.003
"chr8-133","chr8",131000001,132000000,"chr8-133",0.013,0.035,-0.006,0.057,0.103
"chr8-134","chr8",132000001,133000000,"chr8-134",-0.089,-0.107,-0.061,-0.137,-0.114
"chr8-135","chr8",133000001,134000000,"chr8-135",-0.093,-0.074,-0.158,-0.135,-0.153
"chr8-136","chr8",134000001,135000000,"chr8-136",-0.001,-0.038,-0.028,-0.036,-0.07
"chr8-137","chr8",135000001,136000000,"chr8-137",-0.017,-0.018,-0.029,-0.078,-0.074
"chr8-138","chr8",136000001,137000000,"chr8-138",-0.054,-0.023,-0.098,-0.08,-0.08
"chr8-139","chr8",137000001,138000000,"chr8-139",-0.014,0.009,-0.159,-0.044,-0.035
"chr8-140","chr8",138000001,139000000,"chr8-140",-0.113,-0.021,-0.204,-0.144,-0.11
"chr8-141","chr8",139000001,140000000,"chr8-141",-0.055,-0.052,-0.054,-0.048,-0.071
"chr8-142","chr8",140000001,141000000,"chr8-142",-0.013,-0.075,-0.05,-0.068,-0.137
"chr8-143","chr8",141000001,142000000,"chr8-143",0.063,0.026,0.072,0.037,0.05
"chr8-144","chr8",142000001,142766515,"chr8-144",0.081,-0.016,0.109,0.001,-0.082
"chr8-145","chr8",142816516,143000000,"chr8-145",0.083,-0.087,0.015,-0.086,-0.107
"chr8-146","chr8",143000001,144000000,"chr8-146",0.053,-0.031,0.097,-0.02,-0.146
"chr8-147","chr8",144000001,145000000,"chr8-147",0.096,0.062,0.185,0.081,-0.02
"chr8-148","chr8",145000001,145332588,"chr8-148",0.13,0.112,0.266,0.144,0.047
"chr8-149","chr8",145432589,146000000,"chr8-149",0.116,0.079,0.229,0.1,0.028
"chr8-150","chr8",146000001,146304022,"chr8-150",0.06,0.032,0.183,0.049,-0.004
"chr9-001","chr9",10001,1000000,"chr9-001",0.042,-0.009,0.041,0.069,0.053
"chr9-002","chr9",1000001,2000000,"chr9-002",-0.033,-0.042,-0.088,-0.094,-0.12
"chr9-003","chr9",2000001,3000000,"chr9-003",-0.022,-0.007,-0.026,0,-0.019
"chr9-004","chr9",3000001,4000000,"chr9-004",-0.019,0.026,-0.092,-0.061,0.043
"chr9-005","chr9",4000001,5000000,"chr9-005",0.025,0.058,0.034,-0.006,0.04
"chr9-006","chr9",5000001,6000000,"chr9-006",-0.036,0,-0.013,-0.003,0.044
"chr9-007","chr9",6000001,7000000,"chr9-007",0.042,0.034,0.093,0.031,0.08
"chr9-008","chr9",7000001,8000000,"chr9-008",-0.011,-0.025,-0.093,0.01,-0.015
"chr9-009","chr9",8000001,9000000,"chr9-009",-0.087,0.042,-0.122,-0.149,-0.013
"chr9-010","chr9",9000001,10000000,"chr9-010",-0.099,-0.056,-0.219,-0.227,-0.195
"chr9-011","chr9",10000001,12000000,"chr9-011",-0.179,-0.013,-0.282,-0.162,-0.068
"chr9-012","chr9",12000001,13000000,"chr9-012",-0.124,-0.073,-0.232,-0.284,-0.226
"chr9-013","chr9",13000001,14000000,"chr9-013",-0.026,0.051,-0.09,0.011,0.033
"chr9-014","chr9",14000001,15000000,"chr9-014",-0.021,0.044,-0.039,-0.046,-0.005
"chr9-015","chr9",15000001,16000000,"chr9-015",0.043,0.045,0.031,0.015,0.095
"chr9-016","chr9",16000001,17000000,"chr9-016",0.009,0.026,-0.041,-0.015,-0.01
"chr9-017","chr9",17000001,18000000,"chr9-017",0.013,-0.013,0.058,0.018,0.05
"chr9-018","chr9",18000001,19000000,"chr9-018",-0.066,0.01,-0.124,-0.047,0.005
"chr9-019","chr9",19000001,20000000,"chr9-019",0.053,0.021,0.042,0.051,0.032
"chr9-020","chr9",20000001,21000000,"chr9-020",-0.012,0.015,-0.029,-0.047,0.024
"chr9-021","chr9",21000001,22000000,"chr9-021",-0.033,-0.028,-0.085,-0.069,-0.03
"chr9-022","chr9",22000001,23000000,"chr9-022",-0.077,-0.044,-0.13,-0.146,-0.103
"chr9-023","chr9",23000001,24000000,"chr9-023",-0.076,-0.053,-0.068,-0.104,-0.155
"chr9-024","chr9",24000001,25000000,"chr9-024",-0.118,-0.068,-0.204,-0.062,-0.077
"chr9-025","chr9",25000001,26000000,"chr9-025",-0.1,-0.025,-0.097,-0.029,0.048
"chr9-026","chr9",26000001,27000000,"chr9-026",-0.007,0.033,-0.018,-0.012,0.027
"chr9-027","chr9",27000001,28000000,"chr9-027",-0.021,0.004,-0.063,-0.017,0.006
"chr9-028","chr9",28000001,29000000,"chr9-028",-0.187,-0.01,-0.207,-0.175,-0.113
"chr9-029","chr9",29000001,30000000,"chr9-029",-0.087,-0.082,-0.137,-0.124,-0.101
"chr9-030","chr9",30000001,31000000,"chr9-030",-0.063,-0.012,-0.049,-0.14,-0.049
"chr9-031","chr9",31000001,32000000,"chr9-031",0.022,0.034,-0.069,0.042,0.127
"chr9-032","chr9",32000001,33000000,"chr9-032",-0.023,0.013,-0.017,0.019,0.04
"chr9-033","chr9",33000001,34000000,"chr9-033",0.08,0.009,0.08,0.024,0.053
"chr9-034","chr9",34000001,35000000,"chr9-034",0.032,-0.047,0.033,-0.035,-0.064
"chr9-035","chr9",35000001,36000000,"chr9-035",0.041,-0.031,0.046,-0.017,-0.04
"chr9-036","chr9",36000001,37000000,"chr9-036",0.067,0.053,0.097,0.065,0.081
"chr9-037","chr9",37000001,38000000,"chr9-037",0.013,-0.015,0.009,-0.029,-0.018
"chr9-038","chr9",38000001,39663686,"chr9-038",0.002,-0.009,0.002,-0.027,-0.022
"chr9-039","chr9",40475835,40940341,"chr9-039",0.011,-0.079,-0.004,0.017,0.041
"chr9-040","chr9",41415794,42613955,"chr9-040",-0.005,-0.14,0.069,-0.132,0.023
"chr9-041","chr9",43313699,43946569,"chr9-041",-0.013,-0.196,0.015,-0.049,0.028
"chr9-042","chr9",43996570,44676646,"chr9-042",-0.003,-0.169,-0.054,-0.178,-0.258
"chr9-043","chr9",44726647,44908293,"chr9-043",0.007,0.067,0.134,-0.055,-0.052
"chr9-044","chr9",66454657,66614195,"chr9-044",0.069,-0.028,0.092,-0.026,-0.101
"chr9-045","chr9",68137999,68514181,"chr9-045",0.097,0.031,0.145,0.125,0.115
"chr9-046","chr9",69328386,70010542,"chr9-046",0.062,0.102,0.099,0.078,0.116
"chr9-047","chr9",70835469,71000000,"chr9-047",0.039,0.009,0.04,-0.024,-0.048
"chr9-048","chr9",71000001,72000000,"chr9-048",-0.014,-0.008,-0.002,-0.006,-0.008
"chr9-049","chr9",72000001,73000000,"chr9-049",-0.06,-0.023,-0.056,-0.063,-0.067
"chr9-050","chr9",73000001,74000000,"chr9-050",-0.007,-0.037,-0.046,-0.059,-0.093
"chr9-051","chr9",74000001,75000000,"chr9-051",0.008,0.005,0.031,0.006,0.095
"chr9-052","chr9",75000001,76000000,"chr9-052",0.023,0.068,-0.089,0.01,0.058
"chr9-053","chr9",76000001,77000000,"chr9-053",-0.125,-0.06,-0.143,-0.134,-0.173
"chr9-054","chr9",77000001,78000000,"chr9-054",0.013,0.049,0.06,0.064,0.06
"chr9-055","chr9",78000001,79000000,"chr9-055",-0.029,0.015,-0.068,0.05,0.104
"chr9-056","chr9",79000001,80000000,"chr9-056",0,0.011,0.036,-0.006,0.055
"chr9-057","chr9",80000001,81000000,"chr9-057",0.021,0.036,0.002,0.015,0.057
"chr9-058","chr9",81000001,82000000,"chr9-058",-0.125,-0.083,-0.121,-0.097,-0.067
"chr9-059","chr9",82000001,83000000,"chr9-059",-0.059,0.003,0.017,-0.033,0.018
"chr9-060","chr9",83000001,84000000,"chr9-060",-0.054,0.024,-0.059,-0.052,-0.005
"chr9-061","chr9",84000001,85000000,"chr9-061",0.046,0.106,0.101,0.095,0.143
"chr9-062","chr9",85000001,86000000,"chr9-062",-0.08,-0.032,-0.042,-0.071,-0.004
"chr9-063","chr9",86000001,87000000,"chr9-063",0.041,0.055,0.092,0.042,0.092
"chr9-064","chr9",87000001,88000000,"chr9-064",-0.02,-0.044,-0.006,-0.042,-0.05
"chr9-065","chr9",88000001,89000000,"chr9-065",0.034,0.055,0.039,0.053,0.138
"chr9-066","chr9",89000001,90000000,"chr9-066",-0.024,0.035,-0.003,-0.013,0.011
"chr9-067","chr9",90000001,91000000,"chr9-067",0.027,0.006,0.048,0.027,-0.002
"chr9-068","chr9",91000001,92000000,"chr9-068",0.029,0.019,0.024,-0.013,0
"chr9-069","chr9",92000001,92343416,"chr9-069",0.021,-0.067,-0.012,-0.061,-0.106
"chr9-070","chr9",92443417,92528796,"chr9-070",-0.044,-0.051,-0.089,-0.025,-0.06
"chr9-071","chr9",92678797,93000000,"chr9-071",0.011,0.002,0.013,0.014,0.04
"chr9-072","chr9",93000001,94000000,"chr9-072",-0.01,-0.027,-0.032,-0.022,-0.091
"chr9-073","chr9",94000001,95000000,"chr9-073",0.038,0.023,0.071,0.025,0.012
"chr9-074","chr9",95000001,96000000,"chr9-074",0.05,-0.015,0.056,-0.003,-0.018
"chr9-075","chr9",96000001,97000000,"chr9-075",0.031,-0.029,0.027,-0.03,-0.016
"chr9-076","chr9",97000001,98000000,"chr9-076",0.039,0.037,0.04,0.057,0.071
"chr9-077","chr9",98000001,99000000,"chr9-077",0.03,0.015,0.042,0.026,0.036
"chr9-078","chr9",99000001,100000000,"chr9-078",0.079,0.078,0.146,0.087,0.084
"chr9-079","chr9",100000001,101000000,"chr9-079",0,-0.015,0.036,-0.018,0.002
"chr9-080","chr9",101000001,102000000,"chr9-080",-0.016,-0.045,0.002,-0.042,-0.082
"chr9-081","chr9",102000001,103000000,"chr9-081",-0.052,-0.012,-0.081,-0.08,-0.085
"chr9-082","chr9",103000001,104000000,"chr9-082",0.027,0.085,0.062,0.032,0.113
"chr9-083","chr9",104000001,105000000,"chr9-083",-0.038,-0.078,-0.113,-0.111,-0.083
"chr9-084","chr9",105000001,106000000,"chr9-084",-0.022,-0.034,-0.134,-0.067,0.151
"chr9-085","chr9",106000001,107000000,"chr9-085",-0.113,-0.228,-0.267,-0.34,-0.298
"chr9-086","chr9",107000001,108000000,"chr9-086",0.043,0.039,0.048,-0.034,0.02
"chr9-087","chr9",108000001,109000000,"chr9-087",-0.004,-0.018,-0.025,0.008,0.042
"chr9-088","chr9",109000001,110000000,"chr9-088",-0.048,0.015,-0.105,-0.025,-0.025
"chr9-089","chr9",110000001,111000000,"chr9-089",-0.023,-0.003,0.007,0.019,0.029
"chr9-090","chr9",111000001,112000000,"chr9-090",-0.045,-0.045,-0.073,-0.038,-0.065
"chr9-091","chr9",112000001,113000000,"chr9-091",-0.026,-0.039,-0.041,-0.01,0.021
"chr9-092","chr9",113000001,114000000,"chr9-092",-0.039,0.007,-0.059,-0.037,0.045
"chr9-093","chr9",114000001,115000000,"chr9-093",0.036,0.056,0.09,0.06,0.16
"chr9-094","chr9",115000001,116000000,"chr9-094",0.013,0.017,0.043,-0.003,0.061
"chr9-095","chr9",116000001,117000000,"chr9-095",0.012,-0.081,-0.003,-0.061,-0.096
"chr9-096","chr9",117000001,118000000,"chr9-096",0.019,-0.038,-0.005,-0.045,-0.054
"chr9-097","chr9",118000001,119000000,"chr9-097",-0.111,-0.037,-0.183,-0.129,-0.087
"chr9-098","chr9",119000001,120000000,"chr9-098",-0.063,-0.036,-0.116,-0.035,-0.032
"chr9-099","chr9",120000001,121000000,"chr9-099",-0.047,0.044,-0.049,-0.003,-0.015
"chr9-100","chr9",121000001,122000000,"chr9-100",-0.039,-0.03,-0.02,-0.006,0.029
"chr9-101","chr9",122000001,123000000,"chr9-101",-0.002,-0.039,-0.042,-0.075,-0.075
"chr9-102","chr9",123000001,124000000,"chr9-102",0.01,0.026,0.053,0.022,0.041
"chr9-103","chr9",124000001,125000000,"chr9-103",0.032,-0.031,0.03,-0.027,-0.046
"chr9-104","chr9",125000001,126000000,"chr9-104",0.003,-0.018,0.017,-0.019,0.037
"chr9-105","chr9",126000001,127000000,"chr9-105",0.036,-0.001,0.035,0.032,0.036
"chr9-106","chr9",127000001,128000000,"chr9-106",0.047,-0.009,0.092,0.004,-0.03
"chr9-107","chr9",128000001,129000000,"chr9-107",0.051,0.022,0.046,0.032,0.059
"chr9-108","chr9",129000001,130000000,"chr9-108",0.044,-0.009,0.039,-0.013,-0.06
"chr9-109","chr9",130000001,131000000,"chr9-109",0.098,0.003,0.134,0.02,-0.025
"chr9-110","chr9",131000001,132000000,"chr9-110",0.1,0.019,0.142,0.043,0.019
"chr9-111","chr9",132000001,133000000,"chr9-111",0.102,-0.002,0.137,0.05,0.028
"chr9-112","chr9",133000001,133073060,"chr9-112",0.082,-0.036,0.083,0.012,0.024
"chr9-113","chr9",133223061,134000000,"chr9-113",0.078,-0.005,0.092,0.022,-0.032
"chr9-114","chr9",134000001,135000000,"chr9-114",0.098,0.029,0.1,0.064,0.051
"chr9-115","chr9",135000001,136000000,"chr9-115",0.082,-0.03,0.087,-0.028,-0.032
"chr9-116","chr9",136000001,137000000,"chr9-116",0.083,-0.022,0.109,-0.002,-0.103
"chr9-117","chr9",137000001,137041193,"chr9-117",0.088,0.037,0.166,-0.017,-0.068
"chr9-118","chr9",137091194,138000000,"chr9-118",0.09,-0.061,0.074,-0.052,-0.182
"chr9-119","chr9",138000001,139000000,"chr9-119",0.088,-0.008,0.119,0.005,-0.113
"chr9-120","chr9",139000001,139166997,"chr9-120",0.085,-0.005,0.155,0.051,-0.076
"chr9-121","chr9",139216998,140000000,"chr9-121",0.108,0.086,0.224,0.101,-0.039
"chr9-122","chr9",140000001,141000000,"chr9-122",0.104,0.085,0.22,0.123,0.025
"chr9-123","chr9",141000001,141153431,"chr9-123",0.115,0.126,0.091,-0.009,-0.063
"chr10-001","chr10",60001,1000000,"chr10-001",0.089,0.054,0.112,0.074,0.037
"chr10-002","chr10",1000001,2000000,"chr10-002",0.046,-0.012,0.04,-0.012,-0.033
"chr10-003","chr10",2000001,3000000,"chr10-003",0.001,-0.003,-0.029,0.01,0.04
"chr10-004","chr10",3000001,4000000,"chr10-004",0.058,0.025,0.044,0.065,0.071
"chr10-005","chr10",4000001,5000000,"chr10-005",0.019,0.089,0.008,0.069,0.092
