"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr8-070","chr8",69000001,70000000,"chr8-070",-0.097,0.033,0.471,-0.014,-0.121,0.057,0.227,0.064,0.296,-0.014,0.007,-0.08,0.048
"chr8-071","chr8",70000001,71000000,"chr8-071",-0.19,-0.002,0.289,-0.067,-0.146,-0.05,0.171,-0.029,0.182,-0.109,-0.166,-0.123,-0.018
"chr8-072","chr8",71000001,72000000,"chr8-072",-0.143,0.01,0.381,-0.05,-0.125,-0.027,0.252,0.008,0.232,-0.051,-0.083,-0.102,-0.013
"chr8-073","chr8",72000001,73000000,"chr8-073",-0.048,0.102,0.46,0.062,-0.045,0.008,0.353,0.07,0.275,-0.022,0.068,0.049,0.08
"chr8-074","chr8",73000001,74000000,"chr8-074",-0.126,0.004,0.335,-0.006,-0.129,-0.026,0.181,-0.005,0.239,-0.046,-0.114,-0.103,-0.018
"chr8-075","chr8",74000001,75000000,"chr8-075",-0.182,0.04,0.323,-0.03,-0.121,-0.063,0.222,-0.022,0.197,-0.104,-0.088,-0.123,-0.015
"chr8-076","chr8",75000001,76000000,"chr8-076",-0.049,0.115,0.397,0.051,-0.065,-0.004,0.326,0.065,0.262,0.008,0.045,0.014,0.073
"chr8-077","chr8",76000001,77000000,"chr8-077",-0.07,0.059,0.484,-0.028,-0.362,0.048,0.261,0.096,0.261,0.026,-0.003,-0.03,0.064
"chr8-078","chr8",77000001,78000000,"chr8-078",-0.028,0.137,0.417,0.049,-0.294,0.057,0.368,0.079,0.29,0.038,0.047,0.052,0.076
"chr8-079","chr8",78000001,79000000,"chr8-079",0.023,0.102,0.556,0.018,-0.318,0.094,0.404,0.142,0.381,0.057,-0.013,0.02,0.182
"chr8-080","chr8",79000001,80000000,"chr8-080",-0.038,0.113,0.522,0.083,-0.306,0.005,0.427,0.124,0.316,-0.012,0.114,0.1,0.125
"chr8-081","chr8",80000001,81000000,"chr8-081",-0.11,0.047,0.375,-0.018,-0.375,-0.006,0.301,0.035,0.227,-0.044,-0.069,-0.021,0.026
"chr8-082","chr8",81000001,82000000,"chr8-082",-0.158,0.025,0.332,-0.04,-0.376,-0.058,0.271,-0.03,0.085,-0.069,-0.155,-0.117,-0.05
"chr8-083","chr8",82000001,83000000,"chr8-083",-0.096,0.062,0.405,-0.01,-0.351,0.004,0.301,0.036,0.24,-0.033,-0.052,-0.03,0.033
"chr8-084","chr8",83000001,84000000,"chr8-084",-0.028,0.116,0.481,-0.009,-0.214,0.108,0.075,0.112,0.311,0.07,0.002,0.029,0.138
"chr8-085","chr8",84000001,85000000,"chr8-085",-0.069,0.052,0.325,-0.047,-0.158,-0.008,0.029,0.04,0.201,0.03,-0.002,-0.033,0.05
"chr8-086","chr8",85000001,86000000,"chr8-086",-0.173,0.133,0.28,-0.028,-0.119,-0.025,0.175,0.075,0.309,-0.058,0.015,-0.093,0.082
"chr8-087","chr8",86000001,86576451,"chr8-087",-0.099,0.09,0.334,0.018,-0.071,-0.051,0.225,0.012,0.206,-0.07,-0.011,-0.03,0.058
"chr8-088","chr8",86726452,87000000,"chr8-088",-0.126,0.071,0.472,-0.12,-0.205,-0.073,0.407,0.059,0.276,0.007,-0.217,-0.047,0.09
"chr8-089","chr8",87000001,88000000,"chr8-089",-0.15,0.043,0.37,-0.038,-0.214,-0.076,0.254,0.004,0.241,-0.074,-0.119,-0.092,0.003
"chr8-090","chr8",88000001,89000000,"chr8-090",-0.129,0.004,0.368,-0.065,-0.426,0.028,0.164,0.025,0.257,-0.048,-0.083,-0.143,-0.002
"chr8-091","chr8",89000001,90000000,"chr8-091",0,0.065,0.502,0.008,-0.348,0.049,0.321,0.075,0.329,0.04,-0.007,0.04,0.082
"chr8-092","chr8",90000001,91000000,"chr8-092",-0.099,0.064,0.438,-0.021,-0.378,-0.049,0.309,0.022,0.287,-0.058,-0.054,-0.066,0.028
"chr8-093","chr8",91000001,92000000,"chr8-093",-0.052,0.083,0.427,0.055,-0.3,-0.013,0.335,0.057,0.261,-0.01,0.052,-0.013,0.041
"chr8-094","chr8",92000001,93000000,"chr8-094",-0.032,0.069,0.468,0.073,-0.41,0.027,0.304,0.044,0.278,0.024,-0.005,-0.005,0.009
"chr8-095","chr8",93000001,94000000,"chr8-095",-0.009,0.114,0.449,0.075,-0.33,0.025,0.376,0.098,0.307,0.033,0.081,0.067,0.118
"chr8-096","chr8",94000001,95000000,"chr8-096",-0.125,0.047,0.393,0.014,-0.354,-0.055,0.299,0.005,0.224,-0.054,-0.025,-0.049,-0.002
"chr8-097","chr8",95000001,96000000,"chr8-097",-0.171,0.025,0.322,-0.005,-0.383,-0.067,0.271,-0.043,0.193,-0.103,-0.049,-0.12,-0.025
"chr8-098","chr8",96000001,97000000,"chr8-098",-0.164,-0.015,0.353,-0.048,-0.399,-0.055,0.245,-0.015,0.195,-0.096,-0.209,-0.096,-0.018
"chr8-099","chr8",97000001,98000000,"chr8-099",-0.119,0.041,0.367,0.023,-0.342,-0.034,0.276,0.021,0.237,-0.053,-0.002,-0.055,0.017
"chr8-100","chr8",98000001,99000000,"chr8-100",-0.212,-0.034,0.288,-0.083,-0.424,-0.079,0.263,-0.065,0.148,-0.143,-0.16,-0.152,-0.081
"chr8-101","chr8",99000001,100000000,"chr8-101",-0.186,0.023,0.355,-0.03,-0.36,-0.072,0.303,-0.041,0.172,-0.103,-0.1,-0.119,-0.012
"chr8-102","chr8",100000001,101000000,"chr8-102",-0.06,0.062,0.45,0.033,-0.365,-0.026,0.374,0.058,0.259,0.003,0.021,-0.006,0.064
"chr8-103","chr8",101000001,102000000,"chr8-103",-0.202,0.017,0.334,-0.059,-0.396,-0.08,0.271,-0.032,0.204,-0.11,-0.11,-0.141,-0.043
"chr8-104","chr8",102000001,103000000,"chr8-104",-0.162,0.008,0.318,-0.025,-0.347,-0.071,0.253,-0.026,0.19,-0.084,-0.146,-0.104,-0.019
"chr8-105","chr8",103000001,104000000,"chr8-105",-0.197,-0.015,0.311,-0.071,-0.397,-0.087,0.25,-0.061,0.173,-0.131,-0.153,-0.141,-0.049
"chr8-106","chr8",104000001,105000000,"chr8-106",-0.136,0.029,0.393,0.028,-0.37,-0.031,0.343,0.04,0.259,-0.072,-0.048,-0.078,0.04
"chr8-107","chr8",105000001,106000000,"chr8-107",-0.056,0.047,0.404,0.038,-0.345,-0.006,0.331,0.064,0.236,-0.014,-0.091,-0.021,0.057
"chr8-108","chr8",106000001,107000000,"chr8-108",-0.05,0.074,0.475,0.023,-0.37,0.036,0.284,0.099,0.267,0.039,0.007,-0.002,0.113
"chr8-109","chr8",107000001,108000000,"chr8-109",-0.091,0.082,0.442,0.054,-0.34,0.039,0.323,0.062,0.299,0.015,0.051,0.007,0.066
"chr8-110","chr8",108000001,109000000,"chr8-110",0,0.1,0.508,0.037,-0.351,0.091,0.366,0.147,0.365,0.06,-0.002,0.061,0.109
"chr8-111","chr8",109000001,110000000,"chr8-111",-0.051,0.073,0.415,0.031,-0.326,0.007,0.249,0.034,0.256,-0.023,0.058,0.01,0.039
"chr8-112","chr8",110000001,111000000,"chr8-112",-0.086,0.065,0.382,0.045,-0.298,-0.012,0.182,0.013,0.227,-0.021,0.011,-0.013,0.012
"chr8-113","chr8",111000001,112000000,"chr8-113",0.032,0.083,0.378,-0.026,-0.366,0.005,0.163,0.131,0.3,0.087,-0.055,0.01,0.15
"chr8-114","chr8",112000001,113000000,"chr8-114",-0.062,0.125,0.319,0.069,-0.328,-0.031,0.117,0.092,0.272,0.029,0.014,0.039,0.071
"chr8-115","chr8",113000001,114000000,"chr8-115",0.056,0.178,0.483,0.06,-0.328,0.164,0.165,0.143,0.399,0.096,0.126,0.116,0.213
"chr8-116","chr8",114000001,115000000,"chr8-116",0.041,0.181,0.488,0.152,-0.282,0.061,0.267,0.161,0.318,0.032,0.188,0.102,0.185
"chr8-117","chr8",115000001,116000000,"chr8-117",-0.015,-0.052,0.531,-0.007,-0.458,0.014,0.253,0.089,0.316,-0.015,-0.072,-0.003,0.002
"chr8-118","chr8",116000001,117000000,"chr8-118",0.005,0.12,0.496,0.034,-0.335,0.031,0.353,0.078,0.303,0.057,-0.003,0.064,0.096
"chr8-119","chr8",117000001,118000000,"chr8-119",-0.074,0.084,0.418,0.005,-0.381,-0.011,0.332,0.063,0.268,-0.039,-0.085,-0.009,0.053
"chr8-120","chr8",118000001,119000000,"chr8-120",-0.104,0.072,0.444,0.016,-0.38,-0.001,0.314,0.038,0.264,-0.03,-0.124,-0.025,0.012
"chr8-121","chr8",119000001,120000000,"chr8-121",-0.07,0.071,0.445,0.013,-0.332,0.001,0.36,0.085,0.259,-0.012,-0.099,-0.006,0.066
"chr8-122","chr8",120000001,121000000,"chr8-122",-0.194,-0.015,0.384,-0.067,-0.433,-0.075,0.288,-0.019,0.222,-0.119,-0.196,-0.135,-0.04
"chr8-123","chr8",121000001,122000000,"chr8-123",-0.112,0.063,0.452,-0.021,-0.396,-0.018,0.321,0.053,0.274,-0.053,-0.073,-0.026,0.056
"chr8-124","chr8",122000001,123000000,"chr8-124",-0.084,0.083,0.441,-0.025,-0.384,0.015,0.364,0.041,0.305,-0.01,-0.046,-0.015,0.032
"chr8-125","chr8",123000001,124000000,"chr8-125",-0.114,0.041,0.348,-0.025,-0.351,-0.056,0.236,0.02,0.195,-0.068,-0.114,-0.042,-0.003
"chr8-126","chr8",124000001,125000000,"chr8-126",-0.18,0.031,0.341,-0.018,-0.348,-0.08,0.271,-0.051,0.199,-0.098,-0.096,-0.128,-0.047
"chr8-127","chr8",125000001,126000000,"chr8-127",-0.141,0.027,0.347,0.113,-0.373,-0.046,0.253,0.001,0.221,-0.064,-0.155,-0.069,-0.002
"chr8-128","chr8",126000001,127000000,"chr8-128",-0.137,0.025,0.383,0.102,-0.374,-0.054,0.284,-0.003,0.23,-0.083,-0.138,-0.069,-0.004
"chr8-129","chr8",127000001,128000000,"chr8-129",-0.137,-0.014,0.48,0.11,-0.391,-0.004,0.166,0,0.232,-0.053,-0.182,-0.064,-0.004
"chr8-130","chr8",128000001,129000000,"chr8-130",-0.092,-0.015,0.505,0.129,-0.33,-0.02,0.345,-0.002,0.231,-0.047,-0.148,-0.024,-0.035
"chr8-131","chr8",129000001,130000000,"chr8-131",-0.031,-0.016,0.605,0.161,-0.333,0.043,0.43,0.059,0.271,0.004,-0.09,0.025,0.045
"chr8-132","chr8",130000001,131000000,"chr8-132",-0.081,-0.04,0.556,0.126,-0.36,0.001,0.394,0.019,0.252,-0.023,-0.131,-0.069,-0.009
"chr8-133","chr8",131000001,132000000,"chr8-133",-0.1,0.01,0.463,0.099,-0.355,-0.029,0.314,-0.016,0.211,-0.04,-0.138,-0.063,-0.042
"chr8-134","chr8",132000001,133000000,"chr8-134",-0.079,0.079,0.537,0.187,-0.294,0.03,0.278,0.06,0.255,0.001,0.03,0.013,0.061
"chr8-135","chr8",133000001,134000000,"chr8-135",-0.083,0.026,0.513,0.141,-0.351,-0.026,0.228,0.024,0.261,-0.039,-0.104,-0.016,0.026
"chr8-136","chr8",134000001,135000000,"chr8-136",-0.105,0.054,0.433,0.119,-0.31,-0.08,0.215,-0.004,0.176,-0.071,-0.115,-0.034,0.006
"chr8-137","chr8",135000001,136000000,"chr8-137",-0.102,0.034,0.448,0.013,-0.349,-0.05,0.197,-0.009,0.199,-0.066,-0.154,-0.023,-0.032
"chr8-138","chr8",136000001,137000000,"chr8-138",-0.071,0.071,0.503,0.031,-0.301,-0.022,0.262,0.017,0.226,-0.062,-0.078,0.015,0.032
"chr8-139","chr8",137000001,138000000,"chr8-139",-0.076,-0.131,0.547,-0.062,-0.427,0.04,0.104,0.069,0.265,-0.003,-0.197,-0.002,0.035
"chr8-140","chr8",138000001,139000000,"chr8-140",-0.074,-0.113,0.507,-0.005,-0.366,0.035,0.093,0.033,0.284,0.007,-0.09,0.003,-0.007
"chr8-141","chr8",139000001,140000000,"chr8-141",-0.144,-0.056,0.382,-0.003,-0.336,-0.08,0.068,-0.015,0.207,-0.076,-0.106,-0.033,0.015
"chr8-142","chr8",140000001,141000000,"chr8-142",-0.112,0.003,0.362,-0.026,-0.331,-0.074,0.182,-0.018,0.114,-0.112,-0.052,-0.044,0.016
"chr8-143","chr8",141000001,142000000,"chr8-143",-0.217,-0.034,0.349,-0.119,-0.423,-0.116,0.194,-0.076,0.122,-0.133,-0.215,-0.187,-0.09
"chr8-144","chr8",142000001,142766515,"chr8-144",-0.23,-0.031,0.313,-0.122,-0.398,-0.128,0.265,-0.056,0.094,-0.172,-0.101,-0.181,-0.037
"chr8-145","chr8",142816516,143000000,"chr8-145",-0.11,-0.112,0.348,-0.051,-0.414,-0.053,0.18,-0.039,0.22,-0.099,-0.151,-0.097,-0.024
"chr8-146","chr8",143000001,144000000,"chr8-146",-0.245,-0.079,0.268,-0.133,-0.409,-0.159,0.151,-0.072,0.043,-0.21,-0.113,-0.223,-0.019
"chr8-147","chr8",144000001,145000000,"chr8-147",-0.367,-0.115,0.214,-0.189,-0.491,-0.236,0.166,-0.12,-0.021,-0.291,-0.156,-0.317,-0.062
"chr8-148","chr8",145000001,145332588,"chr8-148",-0.409,-0.116,0.192,-0.208,-0.492,-0.287,0.162,-0.139,-0.028,-0.388,-0.143,-0.387,-0.04
"chr8-149","chr8",145432589,146000000,"chr8-149",-0.366,-0.088,0.195,-0.187,-0.456,-0.267,0.181,-0.125,-0.042,-0.325,-0.126,-0.317,-0.048
"chr8-150","chr8",146000001,146304022,"chr8-150",-0.326,-0.002,0.278,-0.086,-0.369,-0.243,0.225,-0.134,0.072,-0.319,-0.039,-0.249,-0.058
"chr9-001","chr9",10001,1000000,"chr9-001",-0.855,-0.205,0.012,-1.352,-0.948,-0.962,-0.141,-0.086,-0.452,-1.095,-1.145,-0.706,-0.076
"chr9-002","chr9",1000001,2000000,"chr9-002",-0.274,-0.257,-0.01,-0.619,-0.333,-0.34,-0.171,0.04,-0.427,-0.366,-0.386,-0.156,0.064
"chr9-003","chr9",2000001,3000000,"chr9-003",-0.264,-0.104,-0.153,-0.587,-0.298,-0.309,-0.197,0.001,-0.386,-0.335,-0.313,-0.183,0.03
"chr9-004","chr9",3000001,4000000,"chr9-004",-0.25,-0.139,-0.092,-0.695,-0.378,-0.281,-0.146,0.042,-0.385,-0.351,-0.4,-0.145,0.069
"chr9-005","chr9",4000001,5000000,"chr9-005",-0.324,-0.074,-0.139,-0.599,-0.358,-0.363,-0.149,-0.008,-0.385,-0.396,-0.403,-0.196,0.053
"chr9-006","chr9",5000001,6000000,"chr9-006",-0.341,-0.171,-0.172,-0.695,-0.415,-0.321,-0.224,-0.004,-0.408,-0.412,-0.491,-0.243,0.043
"chr9-007","chr9",6000001,7000000,"chr9-007",-0.416,-0.186,-0.212,-0.647,-0.371,-0.393,-0.229,-0.086,-0.427,-0.45,-0.499,-0.316,-0.063
"chr9-008","chr9",7000001,8000000,"chr9-008",-0.146,-0.167,-0.104,-0.192,-0.044,-0.061,-0.299,0.03,-0.344,-0.07,-0.196,-0.061,0.045
"chr9-009","chr9",8000001,9000000,"chr9-009",-0.097,-0.201,-0.201,-0.227,-0.048,-0.004,-0.402,0.041,-0.42,0.002,-0.123,-0.053,0.052
"chr9-010","chr9",9000001,10000000,"chr9-010",0.076,-0.119,-0.152,0.02,0.027,0.068,-0.526,0.081,-0.422,0.117,-0.042,0.095,0.046
"chr9-011","chr9",10000001,12000000,"chr9-011",-0.103,-0.055,-0.262,0.009,-0.01,-0.021,-0.352,0.084,-0.478,0.03,0.116,-0.03,0.12
"chr9-012","chr9",12000001,13000000,"chr9-012",0.029,-0.007,-0.009,0.132,0.084,0.069,-0.095,0.164,-0.338,0.132,0.18,0.116,0.128
"chr9-013","chr9",13000001,14000000,"chr9-013",-0.047,-0.139,-0.066,-0.018,-0.04,0.027,-0.197,0.071,-0.363,0.034,-0.012,0.006,0.063
"chr9-014","chr9",14000001,15000000,"chr9-014",-0.07,-0.164,-0.125,0.016,-0.022,-0.01,-0.242,0.032,-0.41,-0.014,-0.007,0.019,0.048
"chr9-015","chr9",15000001,16000000,"chr9-015",-0.191,-0.156,-0.177,-0.047,-0.065,-0.065,-0.203,-0.043,-0.442,-0.09,-0.087,-0.131,0.003
"chr9-016","chr9",16000001,17000000,"chr9-016",-0.043,-0.126,-0.08,0.027,-0.015,-0.025,-0.143,0.02,-0.374,-0.004,0.01,0.018,0.015
"chr9-017","chr9",17000001,18000000,"chr9-017",-0.345,-0.108,-0.206,-0.213,-0.263,-0.24,-0.263,0.006,-0.367,-0.335,-0.254,-0.227,0.1
"chr9-018","chr9",18000001,19000000,"chr9-018",-0.365,-0.19,-0.127,-0.325,-0.356,-0.294,-0.291,0.053,-0.384,-0.309,-0.438,-0.341,0.014
"chr9-019","chr9",19000001,20000000,"chr9-019",-0.571,-0.213,-0.239,-0.35,-0.409,-0.405,-0.317,-0.086,-0.45,-0.502,-0.443,-0.532,-0.072
"chr9-020","chr9",20000001,21000000,"chr9-020",-0.397,-0.134,-0.089,-0.304,-0.329,-0.295,-0.281,0.026,-0.4,-0.328,-0.411,-0.345,0.036
"chr9-021","chr9",21000001,22000000,"chr9-021",-0.355,-0.1,-0.103,-0.282,-0.278,-0.276,-0.147,0.06,-0.381,-0.321,-0.282,-0.293,0.1
"chr9-022","chr9",22000001,23000000,"chr9-022",-0.085,-0.105,-0.084,0.039,0.012,-0.009,-0.141,0.076,-0.378,-0.01,0.035,0,0.116
"chr9-023","chr9",23000001,24000000,"chr9-023",-0.411,-0.194,-0.195,-0.277,-0.325,-0.316,-0.486,0.047,-0.394,-0.344,-0.33,-0.311,0.062
"chr9-024","chr9",24000001,25000000,"chr9-024",-0.402,-0.215,-0.189,-0.508,-0.335,-0.316,-0.504,0.089,-0.464,-0.314,-0.47,-0.372,-0.114
"chr9-025","chr9",25000001,26000000,"chr9-025",-0.362,-0.169,-0.195,-0.395,-0.314,-0.272,-0.433,0.08,-0.371,-0.229,-0.366,-0.229,0.093
"chr9-026","chr9",26000001,27000000,"chr9-026",-0.093,-0.068,-0.159,0.013,-0.002,-0.027,-0.209,-0.003,-0.394,0.001,0.069,-0.044,0.034
"chr9-027","chr9",27000001,28000000,"chr9-027",-0.063,-0.14,-0.152,-0.035,-0.018,-0.028,-0.424,0.048,-0.383,-0.029,-0.091,-0.009,0.071
"chr9-028","chr9",28000001,29000000,"chr9-028",-0.001,-0.097,-0.14,0.037,0.035,0.024,-0.548,0.139,-0.376,0.022,-0.005,0.094,0.187
"chr9-029","chr9",29000001,30000000,"chr9-029",-0.099,-0.096,-0.122,0.003,0.035,0.009,-0.285,0.054,-0.425,-0.022,0.037,-0.001,0.107
"chr9-030","chr9",30000001,31000000,"chr9-030",-0.007,-0.045,-0.077,-0.058,-0.051,0.048,-0.292,0.055,-0.437,0.025,0.038,0.11,0.157
"chr9-031","chr9",31000001,32000000,"chr9-031",-0.077,-0.281,-0.127,-0.091,-0.042,0.064,-0.599,0.042,-0.401,-0.053,-0.163,-0.055,-0.053
"chr9-032","chr9",32000001,33000000,"chr9-032",-0.154,-0.158,-0.195,-0.04,-0.076,-0.054,-0.258,-0.048,-0.41,-0.097,-0.134,-0.115,-0.047
"chr9-033","chr9",33000001,34000000,"chr9-033",-0.206,-0.157,-0.187,-0.043,-0.089,-0.097,-0.203,-0.101,-0.383,-0.126,-0.069,-0.148,-0.083
"chr9-034","chr9",34000001,35000000,"chr9-034",-0.198,-0.146,-0.204,-0.017,-0.066,-0.12,-0.163,-0.072,-0.353,-0.123,-0.03,-0.13,-0.035
"chr9-035","chr9",35000001,36000000,"chr9-035",-0.183,-0.099,-0.181,-0.005,-0.055,-0.146,-0.145,-0.061,-0.353,-0.143,-0.017,-0.125,-0.02
"chr9-036","chr9",36000001,37000000,"chr9-036",-0.246,-0.205,-0.241,-0.061,-0.085,-0.09,-0.227,-0.084,-0.424,-0.141,-0.115,-0.183,-0.071
"chr9-037","chr9",37000001,38000000,"chr9-037",-0.184,-0.174,-0.196,-0.05,-0.077,-0.063,-0.206,-0.076,-0.375,-0.115,-0.107,-0.127,-0.065
"chr9-038","chr9",38000001,39663686,"chr9-038",-0.118,-0.142,-0.207,-0.069,-0.072,-0.081,-0.266,-0.028,-0.359,-0.095,-0.103,-0.081,-0.002
"chr9-039","chr9",40475835,40940341,"chr9-039",-0.171,-0.157,0.019,0.001,-0.129,-0.069,-0.194,-0.078,0.28,-0.035,-0.17,-0.202,-0.143
"chr9-040","chr9",41415794,42613955,"chr9-040",0.094,-0.145,0.021,0.044,-0.028,0.061,-0.084,-0.111,-0.079,0.179,0.083,0.072,-0.093
"chr9-041","chr9",43313699,43946569,"chr9-041",-0.013,-0.161,-0.129,-0.107,-0.199,0.012,-0.484,-0.054,-0.27,0.11,-0.166,-0.066,-0.048
"chr9-042","chr9",43996570,44676646,"chr9-042",0.005,-0.259,-0.043,-0.092,-0.115,0.073,-0.289,-0.119,-0.165,0.164,-0.255,-0.057,-0.207
"chr9-043","chr9",44726647,44908293,"chr9-043",0.103,-0.211,0.127,0.074,-0.099,0.074,0,-0.161,-0.085,0.178,-0.003,0.111,-0.15
"chr9-044","chr9",66454657,66614195,"chr9-044",0.086,-0.23,0.007,0.075,0.015,0.166,-0.125,-0.047,0.078,0.211,0.063,-0.007,-0.241
"chr9-045","chr9",68137999,68514181,"chr9-045",0.06,-0.154,0.005,-0.027,-0.084,0.062,-0.025,-0.06,-0.116,0.106,0.02,0.019,-0.12
"chr9-046","chr9",69328386,70010542,"chr9-046",0.071,-0.2,0.013,0.018,-0.104,0.162,-0.131,-0.051,-0.052,0.127,-0.223,0.059,-0.171
"chr9-047","chr9",70835469,71000000,"chr9-047",0.078,-0.128,0.11,0.052,0.038,0.086,0.077,0,0.151,0.183,0.112,0.042,-0.006
"chr9-048","chr9",71000001,72000000,"chr9-048",-0.175,-0.182,0.064,0.035,-0.068,-0.077,0.047,-0.041,0.447,-0.085,-0.088,-0.114,-0.018
"chr9-049","chr9",72000001,73000000,"chr9-049",-0.108,-0.197,0.16,0.044,-0.056,-0.041,0.101,-0.004,0.508,-0.038,-0.065,-0.089,0.002
"chr9-050","chr9",73000001,74000000,"chr9-050",-0.012,-0.098,0.219,0.117,0.029,0.03,0.164,0.042,0.585,0.042,0.026,0.053,0.035
"chr9-051","chr9",74000001,75000000,"chr9-051",-0.198,-0.231,0.091,-0.019,-0.078,-0.065,0.072,-0.053,0.498,-0.112,-0.217,-0.156,-0.069
"chr9-052","chr9",75000001,76000000,"chr9-052",-0.054,-0.195,0.17,0.04,-0.012,0.032,-0.031,0.043,0.577,0.032,-0.134,-0.027,0.001
"chr9-053","chr9",76000001,77000000,"chr9-053",0.039,-0.135,0.224,0.073,0.004,0.062,-0.016,0.146,0.684,0.037,-0.031,0.019,0.077
"chr9-054","chr9",77000001,78000000,"chr9-054",-0.226,-0.188,0.015,-0.062,-0.093,-0.134,-0.01,-0.084,0.475,-0.139,-0.152,-0.166,-0.086
"chr9-055","chr9",78000001,79000000,"chr9-055",-0.126,-0.262,0.133,0,-0.073,-0.027,0.073,-0.043,0.504,-0.049,-0.192,-0.104,-0.106
"chr9-056","chr9",79000001,80000000,"chr9-056",-0.184,-0.152,0.126,0.023,-0.044,-0.062,0.157,-0.006,0.454,-0.085,-0.035,-0.113,0.025
"chr9-057","chr9",80000001,81000000,"chr9-057",-0.134,-0.192,0.141,0.009,-0.085,-0.034,0.112,0.007,0.49,-0.071,-0.106,-0.077,-0.02
"chr9-058","chr9",81000001,82000000,"chr9-058",-0.059,-0.252,0.198,0.071,-0.006,0.043,-0.101,0.064,0.562,-0.005,-0.095,0.017,0.06
"chr9-059","chr9",82000001,83000000,"chr9-059",-0.091,-0.129,0.133,0.056,-0.034,-0.047,0.076,0.046,0.499,-0.066,-0.014,-0.06,0.082
"chr9-060","chr9",83000001,84000000,"chr9-060",-0.014,-0.268,0.215,-0.016,-0.075,0.044,0.036,0.064,0.605,0.028,-0.22,-0.013,0.024
"chr9-061","chr9",84000001,85000000,"chr9-061",-0.141,-0.147,0.095,0.005,-0.076,-0.01,0.022,-0.022,0.407,-0.05,-0.207,-0.115,-0.066
"chr9-062","chr9",85000001,86000000,"chr9-062",-0.054,-0.206,0.113,0.072,-0.011,0.014,0.015,0.053,0.567,-0.037,-0.053,-0.005,0.139
"chr9-063","chr9",86000001,87000000,"chr9-063",-0.192,-0.197,0.06,-0.037,-0.081,-0.076,0.092,-0.066,0.418,-0.127,-0.128,-0.134,-0.026
"chr9-064","chr9",87000001,88000000,"chr9-064",-0.071,-0.15,0.125,0.015,-0.002,-0.014,0.022,0.071,0.491,-0.038,-0.104,0.026,0.07
"chr9-065","chr9",88000001,89000000,"chr9-065",-0.206,-0.197,0.096,-0.038,-0.092,-0.069,0.083,-0.05,0.434,-0.119,-0.174,-0.169,-0.03
"chr9-066","chr9",89000001,90000000,"chr9-066",-0.11,-0.139,0.181,0.041,-0.029,-0.03,0.172,0.009,0.479,-0.059,-0.006,-0.026,-0.003
"chr9-067","chr9",90000001,91000000,"chr9-067",-0.221,-0.175,0.06,-0.039,-0.117,-0.104,0.075,-0.054,0.396,-0.129,-0.163,-0.17,-0.068
"chr9-068","chr9",91000001,92000000,"chr9-068",-0.135,-0.123,0.11,0.003,-0.071,-0.065,0.111,-0.014,0.396,-0.085,-0.022,-0.087,0.013
"chr9-069","chr9",92000001,92343416,"chr9-069",-0.12,-0.112,0.085,-0.04,-0.084,-0.08,0.035,-0.014,0.35,-0.141,-0.085,-0.097,0.01
"chr9-070","chr9",92443417,92528796,"chr9-070",-0.014,-0.079,0.154,0.022,0.024,-0.05,0.107,0.025,0.443,-0.073,-0.017,0.093,0.046
"chr9-071","chr9",92678797,93000000,"chr9-071",-0.051,-0.18,0.071,0.086,-0.006,-0.031,0.013,-0.029,0.446,-0.004,-0.084,0.023,-0.041
"chr9-072","chr9",93000001,94000000,"chr9-072",-0.117,-0.143,0.122,-0.005,-0.059,-0.046,0.036,0.006,0.474,-0.067,-0.077,-0.065,0.014
"chr9-073","chr9",94000001,95000000,"chr9-073",-0.18,-0.141,0.042,-0.018,-0.068,-0.08,0.013,-0.039,0.398,-0.109,-0.079,-0.132,-0.029
"chr9-074","chr9",95000001,96000000,"chr9-074",-0.208,-0.194,0.06,-0.072,-0.118,-0.106,0.102,-0.072,0.332,-0.135,-0.09,-0.17,-0.025
"chr9-075","chr9",96000001,97000000,"chr9-075",-0.205,-0.169,0.062,-0.069,-0.131,-0.085,0.073,-0.05,0.33,-0.134,-0.137,-0.154,-0.01
"chr9-076","chr9",97000001,98000000,"chr9-076",-0.175,-0.206,0.099,-0.106,-0.101,-0.097,0.102,-0.036,0.431,-0.122,-0.173,-0.119,-0.066
"chr9-077","chr9",98000001,99000000,"chr9-077",-0.168,-0.135,0.066,-0.115,-0.096,-0.092,0.113,-0.017,-0.209,-0.115,-0.155,-0.132,0.008
"chr9-078","chr9",99000001,100000000,"chr9-078",-0.256,-0.205,0.045,-0.132,-0.123,-0.117,0.095,-0.089,-0.057,-0.169,-0.166,-0.2,-0.071
"chr9-079","chr9",100000001,101000000,"chr9-079",-0.181,-0.171,0.075,-0.079,-0.077,-0.096,0.115,-0.046,-0.025,-0.127,-0.092,-0.118,-0.038
"chr9-080","chr9",101000001,102000000,"chr9-080",-0.15,-0.166,0.127,-0.057,-0.072,-0.076,0.108,-0.021,0.018,-0.111,-0.117,-0.089,-0.016
